trial,trial type,rotation,target distance
1,P,-1.0,90
2,N,0.0,90
3,X,0.0,90
4,P,1.0,90
5,X,0.0,90
6,N,0.0,90
7,X,0.0,90
8,P,-2.0,90
9,N,0.0,90
10,X,0.0,90
11,P,2.0,90
12,N,0.0,90
13,N,0.0,90
14,P,-2.0,90
15,X,0.0,90
16,P,-1.0,90
17,N,0.0,90
18,X,0.0,90
19,N,0.0,90
20,P,1.0,90
21,X,0.0,90
22,X,0.0,90
23,P,-1.0,90
24,N,0.0,90
25,X,0.0,90
26,P,-2.0,90
27,N,0.0,90
28,N,0.0,90
29,P,-2.0,90
30,X,0.0,90
31,P,2.0,90
32,N,0.0,90
33,X,0.0,90
34,X,0.0,90
35,P,2.0,90
36,N,0.0,90
37,N,0.0,90
38,P,1.0,90
39,X,0.0,90
40,P,-1.0,90
41,X,0.0,90
42,N,0.0,90
43,N,0.0,90
44,P,2.0,90
45,X,0.0,90
46,X,0.0,90
47,P,-2.0,90
48,N,0.0,90
49,X,0.0,90
50,P,1.0,90
51,N,0.0,90
52,P,1.0,90
53,X,0.0,90
54,N,0.0,90
55,P,-1.0,90
56,X,0.0,90
57,N,0.0,90
58,X,0.0,90
59,P,2.0,90
60,N,0.0,90
